,tweet_id,timestamp,text_x,rating_numerator,rating_denominator,name,year_x,month_x,kind,jpg_url,img_num,type_predication_1,type_predication_1_conf,type_predication_1_dog,type_predication_2,type_predication_2_conf,type_predication_2_dog,type_predication_3,type_predication_3_conf,type_predication_3_dog,time,text_y,like,retweet,device,url,year_y,month_y
0,892420643555336193,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,2017,8,None ,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,Orange,0.0970486,False,Bagel,0.08585110000000001,False,Banana,0.07611,False,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,34665,7237,Twitter for iPhone,https://t.co/MgUWQ76dJU,2017,8
1,892177421306343426,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,2017,8,None ,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boop… https://t.co/aQFSeaCu9L",30041,5420,Twitter for iPhone,https://t.co/aQFSeaCu9L,2017,8
2,891815181378084864,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,2017,7,None ,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.… https://t.co/r0YlrsGCgy,22619,3580,Twitter for iPhone,https://t.co/r0YlrsGCgy,2017,7
3,891689557279858688,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,2017,7,None ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper Towel,0.17027799999999998,False,Labrador Retriever,0.168086,True,Spatula,0.0408359,False,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,37946,7446,Twitter for iPhone,https://t.co/tD36da7qLQ,2017,7
4,891327558926688256,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,2017,7,None ,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,True,English Springer,0.22577,True,German Short-Haired Pointer,0.175219,True,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected a… https://t.co/0g0KMIVXZ3",36217,7993,Twitter for iPhone,https://t.co/0g0KMIVXZ3,2017,7
5,891087950875897856,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,None,2017,7,None ,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake Bay Retriever,0.425595,True,Irish Terrier,0.116317,True,Indian Elephant,0.07690219999999999,False,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG:… https://t.co/xx5cilW0Dd,18267,2684,Twitter for iPhone,https://t.co/xx5cilW0Dd,2017,7
6,890971913173991426,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,2017,7,None ,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.34170300000000003,True,Border Collie,0.199287,True,Ice Lolly,0.193548,False,2017-07-28 16:27:12,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below… https://t.co/MV01Q820LT,10638,1726,Twitter for iPhone,https://t.co/MV01Q820LT,2017,7
7,890729181411237888,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,None,2017,7,None ,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo Dog,0.17840599999999998,True,Pembroke,0.0765069,True,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13… https://t.co/hrcFOGi12V,58370,16280,Twitter for iPhone,https://t.co/hrcFOGi12V,2017,7
8,890609185150312448,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,2017,7,None ,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish Terrier,0.487574,True,Irish Setter,0.193054,True,Chesapeake Bay Retriever,0.118184,True,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10… https://t.co/UkrdQyoYxV,25152,3726,Twitter for iPhone,https://t.co/UkrdQyoYxV,2017,7
9,890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,2017,7,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant… https://t.co/l3TSS3o2M0,28670,6289,Twitter for iPhone,https://t.co/l3TSS3o2M0,2017,7
10,890006608113172480,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,2017,7,None ,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a pe… https://t.co/jy2alqaYPH,27701,6328,Twitter for iPhone,https://t.co/jy2alqaYPH,2017,7
11,889880896479866881,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,Bruno,2017,7,None ,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French Bulldog,0.377417,True,Labrador Retriever,0.151317,True,Muzzle,0.0829811,False,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,25172,4301,Twitter for iPhone,https://t.co/u1XPQMl29g,2017,7
